sentiment,ID,Time,none,username,Text,text_clean,text_normalized,text_lemma,text_nouns,text_adjectives,text_verbs,text_nav,no_tokens
0,2328579204,Thu Jun 25 09:45:05 PDT 2009,NO_QUERY,Ashleymc6,Gotta go to work soon..looks like im takin' my paretns car since mine decided to die on me this morning ,Gotta go to work soon..looks like im takin' my paretns car since mine decided to die on me this morning ,gotta go work soonlooks like im takin ' paretns car since mine decided die morning,get to go work soonlook like -PRON- be takin ' paretns car since -PRON- decide die morning,work soonlook takin paretns car die morning,,get go be decide,work soonlook takin paretns car die morning get go be decide,17.0
0,2328579300,Thu Jun 25 09:45:06 PDT 2009,NO_QUERY,NikaB84,R.I.P. Farrah Fawcett http://bit.ly/DVCgs  The beloved angel has passed away ,R.I.P. Farrah Fawcett   The beloved angel has passed away ,rip . farrah fawcett beloved angel passed away,rip . farrah fawcett beloved angel pass away,farrah fawcett angel,beloved,rip pass,farrah fawcett angel beloved rip pass,8.0
0,2328579433,Thu Jun 25 09:45:06 PDT 2009,NO_QUERY,KimPossible40,@sc430girl yup- nyquil is gone , yup- nyquil is gone ,yup nyquil gone,yup nyquil go,yup nyquil,,go,yup nyquil go,3.0
0,2328579651,Thu Jun 25 09:45:07 PDT 2009,NO_QUERY,aamanlamba, mortality grows closer re: http://ff.im/4qxuO, mortality grows closer re: ,mortality grows closer,mortality grow closer,mortality,,grow,mortality grow,3.0
0,2328580080,Thu Jun 25 09:45:09 PDT 2009,NO_QUERY,sidneymwaller,Trying to upload a pic but it won't work ,Trying to upload a pic but it won't work ,trying upload pic wont work,try upload pic will not work,pic,upload,try will work,pic upload try will work,6.0
0,2328580135,Thu Jun 25 09:45:09 PDT 2009,NO_QUERY,orykeene,"Trying to work with Wordpress, but it's just a MESS! &gt;&lt; I miss the simplicity of Dotclear... ","Trying to work with Wordpress, but it's just a MESS! >< I miss the simplicity of Dotclear... ",trying work wordpress mess ! >< miss simplicity dotclear ...,try work wordpress mess ! > < miss simplicity dotclear ...,mess miss simplicity dotclear,wordpress,try work,mess miss simplicity dotclear wordpress try work,11.0
0,2328580311,Thu Jun 25 09:45:10 PDT 2009,NO_QUERY,gurgiofdoom,@peterfacinelli Every time I try to enter the competition I put in my details and it says the site is off-line , Every time I try to enter the competition I put in my details and it says the site is off-line ,every time try enter competition put details says site offline,every time try enter competition put detail say site offline,time competition detail site,offline,try enter put say,time competition detail site offline try enter put say,10.0
0,2328580366,Thu Jun 25 09:45:10 PDT 2009,NO_QUERY,_jess_o_,@pattypuke Thanks. I don't know anything yet but  didn't get a good vibe. , Thanks. I don't know anything yet but  didn't get a good vibe. ,thanks dont know anything yet ' get good vibe .,thank do not know anything yet ' get good vibe .,thank vibe,good,know,thank vibe good know,11.0
0,2328580508,Thu Jun 25 09:45:11 PDT 2009,NO_QUERY,mendota,"@nytimes @cikasugeng did you got anything from Kinokuniya? Now, im cravng to read her newest novel of @megcabot  -being Nikki.  Curious!","  did you got anything from Kinokuniya? Now, im cravng to read her newest novel of   -being Nikki.  Curious!",got anything kinokuniya im cravng read newest novel - nikki . curious !,get anything kinokuniya -PRON- be cravng read new novel - nikki . curious !,kinokuniya cravng novel nikki,new curious,get be read,kinokuniya cravng novel nikki new curious get be read,14.0
0,2328580744,Thu Jun 25 09:45:11 PDT 2009,NO_QUERY,chan_cookie,meeting today with @streetwizemag and @shardemonet .. i want some ice cream ,meeting today with  and  .. i want some ice cream ,meeting today want ice cream,meeting today want ice cream,meeting today ice cream,,want,meeting today ice cream want,5.0
0,2328580797,Thu Jun 25 09:45:12 PDT 2009,NO_QUERY,ShikhaBirdie,@sameergupta Aww! I had that for full one month when I had typhoid. I know the pain.. , Aww! I had that for full one month when I had typhoid. I know the pain.. ,aww full one month typhoid know pain ..,aww full one month typhoid know pain ..,month typhoid pain,full,know,month typhoid pain full know,8.0
0,2328581034,Thu Jun 25 09:45:14 PDT 2009,NO_QUERY,mryikai,Which operating system should i get for my new pc? ,Which operating system should i get for my new pc? ,operating system get new pc,operate system get new pc,system pc,new,operate get,system pc new operate get,5.0
0,2328581087,Thu Jun 25 09:45:13 PDT 2009,NO_QUERY,BlueEyedGirl18,@PinkJoey i dunno but it sucks , i dunno but it sucks ,dunno sucks,dunno suck,dunno,,suck,dunno suck,2.0
0,2328581338,Thu Jun 25 09:45:14 PDT 2009,NO_QUERY,mcnoggin,Starting addictive video games at midnight or one in the morning is not good. Didn't go to bed until three hours later. Tired ,Starting addictive video games at midnight or one in the morning is not good. Didn't go to bed until three hours later. Tired ,starting addictive video games midnight one morning good didnt go bed three hours later . tired,start addictive video game midnight one morning good do not go bed three hour later . tired,video game midnight morning good bed hour,addictive tired,start go,video game midnight morning good bed hour addictive tired start go,17.0
